timestamp,text
1/27/2020 23:59,general motors searching for software developer #atlantaga #springboot #developers …
1/27/2020 23:58,.@gm invests in its first 100% electric assembly plant.  #electric #generalmotors #cruise #gogreen #ev 
1/27/2020 23:56,@gm hire me!
1/27/2020 23:42,"nothing toxic about its especially me standing at the back of my dad's rav4 (try not to smell the exhaust btw)

that sulfur part is from burning coal that can cause acid rain"
1/27/2020 23:42," tuesday mood...

#gm pic.twitter.com/741nuwbhmt"
1/27/2020 23:40,"must be subsidised by taxpayers, otherwise it's a financial death bed 
@gm  …"
1/27/2020 23:39,"congratulations! what an amazing opportunity @paulamott13 
#vbits"
1/27/2020 23:39,"#gm t dearooooooooooooooo  #lets enjoy #cheers #happyfresh day kadak  coffee 4 u dearooooo  yummy  yummy  
@surekhas159pic.twitter.com/ozy1opwqtn"
1/27/2020 23:39,you and your supporters are still the nazis we fight. that’s not coming from me...just a nobel winning vice president of the united states. @walmart @amazon @gm @ford @dodge @goldmansachs @chevron @blackrock @exxonmobil @warrenbuffett fossil fuels for combustion = terrorismpic.twitter.com/5kceucdu4z
1/27/2020 23:38,at st. catharines city hall where the council chambers are packed and there's overflow. two big items are motions about the former general motors property on ontario street and honouring neil peart with naming of pavilion in port dalhousie.
1/27/2020 23:35,"general motors (gm) will invest $2.2 billion to produce electric cars at its detroit-hamtramck plant in michigan, the company said monday.  "
1/27/2020 23:35,"general motors to invest $2.2 billion, create 2,200 jobs in detroit  … #companies   #546"
1/27/2020 23:35,@gm announced plans to spend $2.2 billion to retrofit its detroit-hamtramck plant for the production of #autonomous and electric vehicles. 
1/27/2020 23:34,general motors lays out $3 billion investment plan for production of electric vehicles at…  
1/27/2020 23:29,"#gm  ,praying for u always thanx 4 ur rt and lovely tweets manoj g
#have a sweet an amazing day  #have a cheerful week. n month ,may god bless you  
always  good luck
@mkumar0806pic.twitter.com/pcmcwgvs1b"
1/27/2020 23:26,"#gm friends  @navendukumar @jasbir07jas @ashw8363 @bandanadas16 @papasharma00 @8e5445e3ab754a  
@rakshitkgaur @jagdishrai053 @rakesh49135086 @drasisacharya @r_sharma94 @tarunpant14 @sagheer_usmani @anuragbindal9 @desdesai @channijjar @swwagatam @jsharmaa1775  thought for allpic.twitter.com/ofukiwfhy2"
1/27/2020 23:26,"goddamn i hate to say it, but the c8 corvette is one of the best looking cars i've ever seen & if @gm haven't spoken one lie about it, it'll be the golden standard of american supercar for years to come

(& it might kick ass at le mans) pic.twitter.com/9fcybqeehm"
1/27/2020 23:19,.@gm will invest $3b into its detroit assembly plant and supplier tooling to manufacture electric trucks/suvs as well as its subsidiary @cruise's new autonomous vehicle. gm is targeting to produce its first vehicles in this project by late 2021. …
1/27/2020 23:59,general motors searching for software developer #atlantaga #springboot #developers …
